ShipmentID,Product,Quantity,UnitCost,Supplier,Warehouse,ShipmentDate,TransportMode,Destination,Status,DeliveryDate
SHP00052,Monitor,278,466.74,TechCorp,WH-B,01-02-2023,Ship,Los Angeles,Delivered,08-02-2023
SHP00053,Monitor,58,583.29,Digitron,WH-C,26-02-2023,Air,Los Angeles,In Transit,08-03-2023
SHP00054,Keyboard,325,134.23,Digitron,WH-B,15-06-2023,Air,Phoenix,In Transit,23-06-2023
SHP00055,Tablet,139,211.69,GadgetPro,WH-A,07-07-2023,Truck,Phoenix,In Transit,16-07-2023
SHP00056,Laptop,453,798,GadgetPro,WH-C,08-12-2023,Ship,New York,In Transit,15-12-2023
SHP00057,Monitor,14,438.01,GadgetPro,WH-B,19-01-2023,Rail,Houston,Delayed,24-01-2023
SHP00058,Phone,437,1261.45,Innovatek,WH-A,26-04-2023,Rail,Chicago,In Transit,05-05-2023
SHP00059,Monitor,36,71.31,GadgetPro,WH-A,03-07-2023,Ship,Phoenix,In Transit,11-07-2023
SHP00060,Phone,169,599.69,Digitron,WH-B,27-09-2023,Air,Los Angeles,In Transit,07-10-2023
SHP00061,Phone,158,539.15,Innovatek,WH-A,02-02-2023,Truck,New York,Delayed,11-02-2023
SHP00062,Monitor,273,78.03,NetSys,WH-B,10-01-2023,Ship,Chicago,Delayed,20-01-2023
SHP00063,Keyboard,239,230.33,TechCorp,WH-A,21-03-2023,Ship,Los Angeles,Delayed,29-03-2023
SHP00064,Phone,209,649.78,GadgetPro,WH-C,11-07-2023,Rail,Los Angeles,Delivered,17-07-2023
SHP00065,Phone,59,764.65,NetSys,WH-C,16-11-2023,Truck,Houston,Delayed,20-11-2023
SHP00066,Monitor,76,636.22,Digitron,WH-C,09-07-2023,Ship,Houston,In Transit,18-07-2023
SHP00067,Phone,309,819.86,TechCorp,WH-C,09-03-2023,Truck,Phoenix,Delayed,18-03-2023
SHP00068,Phone,390,912.94,NetSys,WH-C,14-12-2023,Air,Phoenix,Delayed,24-12-2023
SHP00069,Monitor,67,64.39,TechCorp,WH-B,05-05-2023,Rail,Los Angeles,In Transit,15-05-2023
SHP00070,Monitor,268,722.94,GadgetPro,WH-C,02-12-2023,Air,Los Angeles,Delayed,11-12-2023
SHP00071,Laptop,351,1447.07,Digitron,WH-C,28-02-2023,Truck,Phoenix,Delivered,10-03-2023
SHP00072,Keyboard,335,802.6,TechCorp,WH-C,07-04-2023,Air,Phoenix,Delayed,10-04-2023
SHP00073,Keyboard,139,1032.44,NetSys,WH-C,02-10-2023,Rail,Los Angeles,Delivered,05-10-2023
SHP00074,Phone,224,502.2,GadgetPro,WH-A,29-05-2023,Truck,Chicago,Delivered,04-06-2023
SHP00075,Keyboard,181,1172.29,GadgetPro,WH-C,05-10-2023,Ship,Los Angeles,Delivered,11-10-2023
SHP00076,Phone,267,1170.74,NetSys,WH-C,22-09-2023,Air,Chicago,In Transit,28-09-2023
SHP00077,Laptop,111,805.88,NetSys,WH-B,09-01-2023,Rail,Chicago,Delayed,14-01-2023
SHP00078,Monitor,218,1465.22,TechCorp,WH-A,10-10-2023,Ship,Los Angeles,Delivered,15-10-2023
SHP00079,Monitor,300,232.05,Innovatek,WH-B,30-09-2023,Rail,New York,Delivered,02-10-2023
SHP00080,Monitor,363,74.57,GadgetPro,WH-C,28-10-2023,Truck,Phoenix,Delayed,04-11-2023
SHP00081,Keyboard,480,1166.73,TechCorp,WH-B,08-01-2023,Truck,Houston,In Transit,12-01-2023
SHP00082,Laptop,295,1220.38,NetSys,WH-B,27-07-2023,Air,Los Angeles,In Transit,30-07-2023
SHP00083,Keyboard,125,224.3,TechCorp,WH-C,05-05-2023,Rail,Chicago,Delivered,13-05-2023
SHP00084,Keyboard,273,435.1,NetSys,WH-A,03-05-2023,Rail,Los Angeles,In Transit,07-05-2023
SHP00085,Laptop,159,75.45,Digitron,WH-A,02-02-2023,Rail,Phoenix,Delayed,06-02-2023
SHP00086,Laptop,309,475.3,NetSys,WH-B,01-01-2023,Truck,Chicago,In Transit,09-01-2023
SHP00087,Laptop,451,1171.06,NetSys,WH-C,23-07-2023,Air,Houston,Delayed,24-07-2023
SHP00088,Laptop,45,801.04,NetSys,WH-B,06-01-2023,Rail,Houston,Delivered,15-01-2023
SHP00089,Monitor,462,554.74,Innovatek,WH-B,24-10-2023,Rail,Houston,Delayed,31-10-2023
SHP00090,Tablet,342,589.02,NetSys,WH-B,05-01-2023,Ship,New York,Delivered,07-01-2023
SHP00091,Tablet,486,51.96,GadgetPro,WH-C,21-03-2023,Rail,Chicago,Delayed,27-03-2023
SHP00092,Laptop,296,484.71,GadgetPro,WH-C,01-10-2023,Air,Chicago,Delayed,09-10-2023
SHP00093,Tablet,312,987.37,TechCorp,WH-A,26-06-2023,Ship,New York,In Transit,01-07-2023
SHP00094,Tablet,320,1462.58,Innovatek,WH-C,04-12-2023,Ship,Chicago,Delayed,10-12-2023
SHP00095,Laptop,217,1278.24,TechCorp,WH-B,17-11-2023,Ship,New York,Delivered,27-11-2023
SHP00096,Tablet,115,84.21,GadgetPro,WH-B,05-12-2023,Truck,Los Angeles,Delayed,13-12-2023
SHP00097,Keyboard,455,1352.91,GadgetPro,WH-A,16-05-2023,Ship,Phoenix,Delivered,22-05-2023
SHP00098,Phone,167,1185.64,Digitron,WH-C,25-01-2023,Rail,Houston,Delivered,03-02-2023
SHP00099,Phone,130,1181.55,NetSys,WH-B,21-11-2023,Truck,New York,Delayed,30-11-2023
SHP00100,Laptop,64,714.09,GadgetPro,WH-A,02-07-2023,Truck,New York,In Transit,11-07-2023
SHP00101,Monitor,409,627.11,TechCorp,WH-A,17-06-2023,Truck,New York,Delayed,23-06-2023
SHP00102,Laptop,21,489.23,TechCorp,WH-B,04-12-2023,Truck,Los Angeles,Delayed,13-12-2023
SHP00103,Monitor,154,145.26,NetSys,WH-B,27-06-2023,Truck,New York,In Transit,30-06-2023
SHP00104,Phone,409,380.94,NetSys,WH-C,05-04-2023,Truck,Phoenix,Delivered,10-04-2023
SHP00105,Laptop,405,407.58,Digitron,WH-A,02-02-2023,Truck,Phoenix,Delayed,04-02-2023
SHP00106,Keyboard,145,751.91,Innovatek,WH-B,21-04-2023,Ship,Houston,In Transit,29-04-2023
SHP00107,Tablet,477,1133.79,TechCorp,WH-A,26-05-2023,Air,Los Angeles,In Transit,30-05-2023
SHP00108,Monitor,12,737.02,NetSys,WH-C,19-08-2023,Rail,Phoenix,Delivered,25-08-2023
SHP00109,Tablet,153,133.87,TechCorp,WH-B,29-09-2023,Rail,Chicago,In Transit,05-10-2023
SHP00110,Tablet,39,1438.8,NetSys,WH-C,02-12-2023,Ship,Chicago,Delivered,07-12-2023
SHP00111,Laptop,246,1416.95,GadgetPro,WH-A,07-02-2023,Ship,Chicago,Delayed,08-02-2023
SHP00112,Tablet,288,1188.52,TechCorp,WH-C,15-05-2023,Truck,New York,In Transit,22-05-2023
SHP00113,Keyboard,357,1487.43,GadgetPro,WH-C,30-11-2023,Air,New York,Delayed,10-12-2023
SHP00114,Tablet,124,839.5,TechCorp,WH-A,23-08-2023,Truck,Chicago,In Transit,31-08-2023
SHP00115,Laptop,113,1446.01,Innovatek,WH-C,15-11-2023,Ship,Houston,In Transit,16-11-2023
SHP00116,Keyboard,127,159.63,Digitron,WH-A,11-12-2023,Truck,Houston,Delayed,21-12-2023
SHP00117,Phone,14,580.24,GadgetPro,WH-B,09-06-2023,Rail,New York,In Transit,16-06-2023
SHP00118,Tablet,477,376.8,NetSys,WH-A,07-02-2023,Rail,Chicago,Delayed,11-02-2023
SHP00119,Laptop,369,333.96,Innovatek,WH-A,30-05-2023,Truck,Houston,Delayed,05-06-2023
SHP00120,Phone,257,254.16,TechCorp,WH-B,04-11-2023,Air,New York,Delivered,13-11-2023
SHP00121,Phone,373,952.5,GadgetPro,WH-A,29-01-2023,Truck,Chicago,Delayed,03-02-2023
SHP00122,Monitor,330,1182.92,TechCorp,WH-B,24-05-2023,Truck,Los Angeles,Delivered,01-06-2023
SHP00123,Keyboard,130,888.53,TechCorp,WH-B,17-03-2023,Air,Chicago,Delayed,22-03-2023
SHP00124,Tablet,295,263.1,TechCorp,WH-A,25-05-2023,Air,Chicago,In Transit,27-05-2023
SHP00125,Laptop,158,1226.13,Digitron,WH-C,17-08-2023,Air,Phoenix,Delayed,21-08-2023
SHP00126,Monitor,93,972.13,Digitron,WH-C,05-03-2023,Rail,Phoenix,In Transit,07-03-2023
SHP00127,Keyboard,463,612.84,NetSys,WH-B,13-12-2023,Truck,Los Angeles,Delivered,20-12-2023
SHP00128,Monitor,415,1027.49,GadgetPro,WH-C,11-12-2023,Ship,Los Angeles,In Transit,18-12-2023
SHP00129,Keyboard,475,426.86,Innovatek,WH-C,26-09-2023,Air,Chicago,Delayed,29-09-2023
SHP00130,Keyboard,465,550.53,Innovatek,WH-A,24-11-2023,Air,Houston,In Transit,01-12-2023
SHP00131,Tablet,240,1380.35,Innovatek,WH-B,03-07-2023,Truck,Los Angeles,Delivered,04-07-2023
SHP00132,Keyboard,297,471.23,TechCorp,WH-B,18-09-2023,Ship,Chicago,In Transit,19-09-2023
SHP00133,Monitor,170,731.48,Digitron,WH-A,25-09-2023,Truck,New York,In Transit,04-10-2023
SHP00134,Keyboard,281,1340.7,GadgetPro,WH-C,18-06-2023,Truck,Phoenix,Delayed,24-06-2023
SHP00135,Tablet,469,1076.2,TechCorp,WH-B,16-09-2023,Air,Houston,Delayed,21-09-2023
SHP00136,Tablet,47,140.19,Digitron,WH-C,15-08-2023,Air,Chicago,In Transit,21-08-2023
SHP00137,Monitor,235,263.59,Digitron,WH-B,02-02-2023,Rail,New York,Delivered,08-02-2023
SHP00138,Phone,151,61.37,GadgetPro,WH-B,02-08-2023,Ship,Phoenix,In Transit,03-08-2023
SHP00139,Phone,301,964.84,GadgetPro,WH-B,19-02-2023,Ship,New York,Delivered,24-02-2023
SHP00140,Keyboard,490,699.13,GadgetPro,WH-B,29-07-2023,Air,Chicago,Delivered,07-08-2023
SHP00141,Laptop,160,244.7,TechCorp,WH-C,29-01-2023,Air,Los Angeles,Delivered,02-02-2023
SHP00142,Keyboard,123,1439,NetSys,WH-C,08-02-2023,Air,Phoenix,In Transit,11-02-2023
SHP00143,Monitor,246,818.01,GadgetPro,WH-C,13-12-2023,Ship,New York,Delivered,14-12-2023
SHP00144,Monitor,75,400.75,NetSys,WH-C,10-04-2023,Rail,Los Angeles,In Transit,12-04-2023
SHP00145,Monitor,370,775.88,TechCorp,WH-A,22-06-2023,Ship,Houston,Delivered,25-06-2023
SHP00146,Monitor,350,1035.45,NetSys,WH-B,17-01-2023,Air,Chicago,Delivered,21-01-2023
SHP00147,Monitor,267,160.55,Innovatek,WH-B,25-02-2023,Air,Chicago,In Transit,04-03-2023
SHP00148,Tablet,484,448.32,NetSys,WH-B,14-08-2023,Rail,Phoenix,Delayed,20-08-2023
SHP00149,Phone,258,1220.1,GadgetPro,WH-A,15-02-2023,Truck,New York,Delayed,23-02-2023
SHP00150,Monitor,466,716.51,TechCorp,WH-C,08-03-2023,Truck,Houston,In Transit,17-03-2023
SHP00151,Laptop,458,842.54,GadgetPro,WH-B,16-07-2023,Ship,Phoenix,In Transit,22-07-2023
SHP00152,Laptop,340,677.58,Innovatek,WH-C,22-05-2023,Truck,Phoenix,Delayed,29-05-2023
SHP00153,Laptop,332,113.65,GadgetPro,WH-C,19-11-2023,Truck,New York,Delayed,23-11-2023
SHP00154,Laptop,189,290.34,GadgetPro,WH-A,23-01-2023,Ship,Houston,Delayed,25-01-2023
SHP00155,Tablet,199,696.04,GadgetPro,WH-A,04-04-2023,Air,New York,In Transit,13-04-2023
SHP00156,Laptop,416,353.32,Digitron,WH-C,30-08-2023,Truck,Chicago,Delivered,08-09-2023
SHP00157,Monitor,163,122.47,Innovatek,WH-B,25-08-2023,Air,Los Angeles,In Transit,29-08-2023
SHP00158,Keyboard,205,1273.29,GadgetPro,WH-B,23-02-2023,Ship,Chicago,Delayed,26-02-2023
SHP00159,Laptop,475,1472.73,GadgetPro,WH-A,18-05-2023,Air,Chicago,Delivered,28-05-2023
SHP00160,Tablet,320,1200.06,GadgetPro,WH-A,29-11-2023,Air,Phoenix,In Transit,05-12-2023
SHP00161,Tablet,271,1287.99,TechCorp,WH-A,29-09-2023,Ship,Chicago,Delayed,02-10-2023
SHP00162,Laptop,428,400.87,Digitron,WH-A,10-02-2023,Air,Houston,In Transit,11-02-2023
SHP00163,Keyboard,415,1442.91,TechCorp,WH-A,08-04-2023,Truck,Chicago,Delivered,12-04-2023
SHP00164,Laptop,436,335.54,Digitron,WH-A,02-07-2023,Truck,Houston,Delayed,03-07-2023
SHP00165,Tablet,152,1429.57,GadgetPro,WH-A,08-05-2023,Truck,New York,In Transit,10-05-2023
SHP00166,Phone,351,1492.49,Innovatek,WH-B,17-08-2023,Truck,Phoenix,Delivered,20-08-2023
SHP00167,Monitor,325,1082,NetSys,WH-A,13-11-2023,Air,Houston,Delivered,21-11-2023
SHP00168,Tablet,110,1472.66,NetSys,WH-A,27-03-2023,Truck,Chicago,In Transit,06-04-2023
SHP00169,Laptop,253,875.83,GadgetPro,WH-B,13-09-2023,Air,Phoenix,Delivered,17-09-2023
SHP00170,Monitor,499,426.34,TechCorp,WH-B,28-07-2023,Rail,Phoenix,Delayed,01-08-2023
SHP00171,Laptop,21,683.64,Innovatek,WH-C,03-08-2023,Air,Houston,Delivered,13-08-2023
SHP00172,Laptop,248,910.66,Digitron,WH-A,10-04-2023,Truck,Houston,In Transit,19-04-2023
SHP00173,Phone,58,155.97,GadgetPro,WH-A,18-02-2023,Rail,Los Angeles,Delayed,25-02-2023
SHP00174,Monitor,51,952.4,Innovatek,WH-A,20-07-2023,Ship,Los Angeles,Delivered,22-07-2023
SHP00175,Monitor,175,1472.71,Innovatek,WH-A,15-09-2023,Air,Phoenix,Delivered,18-09-2023
SHP00176,Phone,91,325.66,Digitron,WH-C,27-06-2023,Truck,Los Angeles,Delayed,01-07-2023
SHP00177,Tablet,438,1199.26,Innovatek,WH-B,02-09-2023,Truck,Chicago,Delayed,06-09-2023
SHP00178,Laptop,300,1366.45,TechCorp,WH-B,03-05-2023,Truck,New York,Delivered,13-05-2023
SHP00179,Keyboard,167,1418.37,TechCorp,WH-A,08-12-2023,Ship,Phoenix,Delayed,16-12-2023
SHP00180,Laptop,225,1442.2,TechCorp,WH-A,20-06-2023,Rail,New York,In Transit,30-06-2023
SHP00181,Laptop,499,806.12,Innovatek,WH-A,29-11-2023,Rail,Los Angeles,Delivered,09-12-2023
SHP00182,Tablet,167,1467.1,TechCorp,WH-C,16-05-2023,Truck,Houston,In Transit,22-05-2023
SHP00183,Laptop,471,1148.1,Digitron,WH-C,28-02-2023,Air,Phoenix,Delivered,03-03-2023
SHP00184,Phone,143,284.42,Innovatek,WH-B,12-07-2023,Truck,Los Angeles,In Transit,21-07-2023
SHP00185,Phone,76,741.51,NetSys,WH-A,25-09-2023,Truck,Chicago,In Transit,05-10-2023
SHP00186,Monitor,345,1091.58,Innovatek,WH-A,17-09-2023,Air,Phoenix,Delayed,25-09-2023
SHP00187,Keyboard,16,408.64,Digitron,WH-A,05-04-2023,Truck,Phoenix,Delivered,14-04-2023
SHP00188,Laptop,445,978.89,NetSys,WH-A,05-05-2023,Ship,Houston,Delayed,10-05-2023
SHP00189,Laptop,23,1016.57,Innovatek,WH-C,10-02-2023,Truck,Phoenix,Delayed,13-02-2023
SHP00190,Tablet,82,285.91,TechCorp,WH-B,11-09-2023,Ship,Houston,Delivered,15-09-2023
SHP00191,Phone,408,869.37,GadgetPro,WH-B,07-01-2023,Truck,Los Angeles,In Transit,12-01-2023
SHP00192,Keyboard,414,1168.86,GadgetPro,WH-C,04-08-2023,Rail,Chicago,Delivered,13-08-2023
SHP00193,Monitor,172,773.4,TechCorp,WH-A,10-03-2023,Air,Chicago,Delivered,19-03-2023
SHP00194,Phone,75,67.55,GadgetPro,WH-B,10-03-2023,Rail,Phoenix,Delivered,13-03-2023
SHP00195,Monitor,356,63.11,GadgetPro,WH-B,22-03-2023,Truck,Phoenix,Delayed,29-03-2023
SHP00196,Tablet,139,567.69,TechCorp,WH-C,30-01-2023,Truck,Los Angeles,Delivered,05-02-2023
SHP00197,Tablet,428,1392.98,TechCorp,WH-A,14-03-2023,Ship,Houston,Delivered,18-03-2023
SHP00198,Laptop,475,381.58,Innovatek,WH-B,19-09-2023,Truck,Chicago,Delivered,24-09-2023
SHP00199,Keyboard,215,969.83,Innovatek,WH-A,30-03-2023,Truck,Houston,In Transit,09-04-2023
SHP00200,Monitor,285,372.01,TechCorp,WH-B,27-07-2023,Truck,Los Angeles,In Transit,29-07-2023
SHP00201,Phone,475,516.42,Digitron,WH-C,01-08-2023,Rail,Chicago,In Transit,08-08-2023
SHP00202,Tablet,265,1279.66,GadgetPro,WH-A,18-11-2023,Ship,Chicago,In Transit,22-11-2023
SHP00203,Laptop,275,1106.85,Innovatek,WH-C,23-09-2023,Rail,New York,Delayed,25-09-2023
SHP00204,Laptop,34,188.33,GadgetPro,WH-B,20-10-2023,Ship,Los Angeles,Delayed,26-10-2023
SHP00205,Monitor,459,671.62,NetSys,WH-C,26-07-2023,Rail,Los Angeles,Delivered,28-07-2023
SHP00206,Tablet,290,92.3,TechCorp,WH-C,29-11-2023,Truck,New York,Delayed,09-12-2023
SHP00207,Keyboard,262,747.29,Digitron,WH-C,18-03-2023,Rail,Houston,In Transit,20-03-2023
SHP00208,Tablet,319,1010.53,NetSys,WH-B,15-10-2023,Rail,New York,Delivered,22-10-2023
SHP00209,Monitor,298,221.83,NetSys,WH-A,16-02-2023,Ship,Los Angeles,Delivered,17-02-2023
SHP00210,Monitor,173,468.88,NetSys,WH-C,20-04-2023,Ship,Houston,In Transit,27-04-2023
SHP00211,Tablet,104,626.86,TechCorp,WH-A,19-07-2023,Rail,Chicago,In Transit,29-07-2023
SHP00212,Monitor,279,1383.32,Innovatek,WH-B,29-07-2023,Ship,New York,In Transit,03-08-2023
SHP00213,Tablet,330,1490.22,TechCorp,WH-A,03-06-2023,Ship,Houston,Delayed,04-06-2023
SHP00214,Phone,119,115.12,Innovatek,WH-C,10-01-2023,Ship,Houston,Delivered,16-01-2023
SHP00215,Tablet,345,1153.46,NetSys,WH-C,19-12-2023,Air,Houston,In Transit,26-12-2023
SHP00216,Tablet,319,589,NetSys,WH-C,06-06-2023,Ship,New York,Delivered,07-06-2023
SHP00217,Monitor,247,619.06,Digitron,WH-C,18-09-2023,Air,Chicago,Delivered,27-09-2023
SHP00218,Monitor,390,1143.68,Innovatek,WH-C,18-03-2023,Air,Houston,Delayed,25-03-2023
SHP00219,Laptop,445,1381.72,NetSys,WH-C,14-09-2023,Ship,New York,Delivered,15-09-2023
SHP00220,Laptop,396,1428.85,GadgetPro,WH-B,11-05-2023,Rail,Los Angeles,In Transit,14-05-2023
SHP00221,Phone,492,886.83,Digitron,WH-B,08-03-2023,Ship,New York,In Transit,13-03-2023
SHP00222,Laptop,434,567.83,TechCorp,WH-B,16-08-2023,Truck,New York,Delivered,20-08-2023
SHP00223,Tablet,399,1191.95,Digitron,WH-A,12-06-2023,Rail,New York,Delivered,14-06-2023
SHP00224,Monitor,34,413.95,GadgetPro,WH-A,15-01-2023,Air,Houston,Delayed,16-01-2023
SHP00225,Laptop,150,867.91,Innovatek,WH-B,20-08-2023,Air,New York,In Transit,24-08-2023
SHP00226,Laptop,126,569.94,TechCorp,WH-A,14-07-2023,Rail,Los Angeles,In Transit,21-07-2023
SHP00227,Phone,491,1002.12,TechCorp,WH-A,15-12-2023,Rail,Houston,Delivered,19-12-2023
SHP00228,Phone,401,398.58,Innovatek,WH-C,30-01-2023,Ship,Los Angeles,Delivered,08-02-2023
SHP00229,Tablet,414,327.81,Digitron,WH-C,25-12-2023,Air,Phoenix,Delivered,02-01-2024
SHP00230,Monitor,491,1381.45,NetSys,WH-A,04-12-2023,Truck,New York,In Transit,12-12-2023
SHP00231,Phone,461,197.62,Digitron,WH-A,27-11-2023,Ship,Houston,Delivered,02-12-2023
SHP00232,Laptop,34,783.64,GadgetPro,WH-B,12-11-2023,Rail,Houston,Delayed,13-11-2023
SHP00233,Monitor,88,370.24,NetSys,WH-A,23-10-2023,Air,New York,Delayed,01-11-2023
SHP00234,Monitor,77,106.45,Digitron,WH-C,26-11-2023,Rail,Chicago,Delivered,28-11-2023
SHP00235,Laptop,182,102.23,Innovatek,WH-A,08-08-2023,Rail,Chicago,Delayed,14-08-2023
SHP00236,Phone,453,304.07,GadgetPro,WH-B,27-05-2023,Rail,Los Angeles,Delayed,06-06-2023
SHP00237,Laptop,21,1306.82,GadgetPro,WH-C,16-09-2023,Ship,New York,Delayed,21-09-2023
SHP00238,Monitor,297,459.59,GadgetPro,WH-C,19-10-2023,Truck,New York,Delayed,29-10-2023
SHP00239,Keyboard,137,1428.17,NetSys,WH-C,26-10-2023,Truck,Phoenix,Delayed,03-11-2023
SHP00240,Keyboard,105,893.35,TechCorp,WH-C,23-05-2023,Air,Chicago,In Transit,26-05-2023
SHP00241,Tablet,101,683.09,NetSys,WH-A,23-08-2023,Rail,Chicago,Delivered,29-08-2023
SHP00242,Laptop,150,891.13,Digitron,WH-B,25-04-2023,Truck,New York,Delayed,01-05-2023
SHP00243,Laptop,40,799.21,TechCorp,WH-A,31-12-2023,Rail,Los Angeles,Delivered,10-01-2024
SHP00244,Tablet,343,1150.23,Digitron,WH-A,31-03-2023,Air,New York,Delayed,03-04-2023
SHP00245,Tablet,29,459.62,TechCorp,WH-C,27-07-2023,Rail,Los Angeles,In Transit,03-08-2023
SHP00246,Tablet,155,561.92,NetSys,WH-B,13-06-2023,Truck,Chicago,In Transit,17-06-2023
SHP00247,Monitor,486,1346.44,GadgetPro,WH-C,25-03-2023,Rail,Phoenix,Delayed,30-03-2023
SHP00248,Laptop,325,1422.36,Innovatek,WH-A,18-03-2023,Truck,Houston,Delayed,27-03-2023
